Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Nitro lookbook id (product.metafields.nitro_lookbook.lookbook_product),Hide from Search (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
hoodie-pod-us-form,,,,,,,,,white,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,18,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/White.jpg?v=1723622293,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,white,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Mint_Green.png?v=1734195224,19,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/White.jpg?v=1723622293,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,white,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Pink_94440df5-f278-4254-8da7-94507062bcd6.png?v=1734598087,20,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/White.jpg?v=1723622293,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,white,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Navy_c6023846-227e-4268-8ef6-ebf789442b92.png?v=1734599318,21,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/White.jpg?v=1723622293,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,black,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Black.jpg?v=1723622292,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,dark-heather,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Dark_Heather_56ac86ac-b850-4abb-af5b-fe7e2a9f3d60.png?v=1734158757,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,forest-green,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/23011_source_1705459858.jpg?v=1733637354,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,charcoal,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Charcoal_e2ca3924-a00c-49ea-ad43-87941dae7e07.png?v=1734158319,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,light-blue,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Light_Blue_b3bf3755-a791-44ee-8950-eda0727105e5.png?v=1734164790,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,military-green,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Military_Green.png?v=1734192462,kg,,,,,,,,,,,,
